WigleWifi-1.4,appRelease=2.26,model=SM-G950F,release=7.0,device=dreamlte,display=NRD90M.G950FXXU1AQJ5,board=universal8895,brand=samsung,,,,
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type,
b4:ee:b4:86:c0:f1,Efrat,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS][BLE],01/12/2017 10:43,11,-74,32.17223802,34.81444473,10.58036115,4,WIFI,1
80:1f:02:f5:d8:e8,angela,[WPA2-PSK-CCMP-preauth][ESS][BLE],01/12/2017 10:43,1,-89,32.17225202,34.81439189,17.18081812,4,WIFI,1
14:ae:db:cc:ed:6d,KarvatB0.5,[WPA2-PSK-CCMP][ESS],01/12/2017 10:43,48,-89,32.17226522,34.81421445,22.81899152,4,WIFI,1
52:b0:ce:ac:32:98,Bezeq Free GA32E3,[ESS][BLE],01/12/2017 10:43,1,-80,32.17234852,34.81363859,24.55807198,3,WIFI,1
6c:b0:ce:ac:32:9b,dobry2016,[WPA2-PSK-CCMP][WPS][ESS][BLE],01/12/2017 10:43,1,-69,32.17238059,34.81341291,25.13092549,3,WIFI,1
80:26:89:0d:4f:84,DIR-825-4f83,[WPA2-PSK-CCMP][WPS][ESS],01/12/2017 10:43,1,-66,32.17241155,34.81318689,25.94180198,3,WIFI,1
42501_13111_7943940,Partner,UNKNOWN;il,01/12/2017 10:43,0,-105,32.17241155,34.81318689,25.94180198,3,GSM,
80:26:89:0d:4f:84,DIR-825-4f83,[WPA2-PSK-CCMP][WPS][ESS],01/12/2017 10:43,1,-57,32.17244042,34.81295646,26.35851917,3,WIFI,1
10:0d:7f:80:17:80,ELDAD,[WPA2-PSK-CCMP][WPS][ESS],01/12/2017 10:43,11,-78,32.17248344,34.81270507,27.12203841,3,WIFI,2
80:1f:02:e8:b9:cc,Eldad_2EX,[ESS],01/12/2017 10:43,11,-82,32.17248344,34.81270507,27.12203841,3,WIFI,
a0:ab:1b:5d:c2:60,urigil1,[WPA2-PSK-CCMP][ESS][BLE],01/12/2017 10:43,10,-90,32.17240151,34.81209188,29.03570911,3,WIFI,
cc:b2:55:e8:4c:e6,INGENEO,[WPA2-PSK-CCMP+TKIP][ESS],01/12/2017 10:43,6,-91,32.17240151,34.81209188,29.03570911,3,WIFI,2
42501_13111_7943940,Partner,UNKNOWN;il,01/12/2017 10:43,0,-103,32.17240151,34.81209188,29.03570911,3,GSM,
a0:ab:1b:57:cd:42,Helen.,[WPA2-PSK-CCMP][ESS][BLE],01/12/2017 10:44,10,-79,32.17217553,34.81201239,29.32418163,3,WIFI,
54:64:d9:66:29:ef,U2I8L1M0X42,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],01/12/2017 10:44,11,-85,32.17217553,34.81201239,29.32418163,3,WIFI,2
42501_13111_7943940,Partner,UNKNOWN;il,01/12/2017 10:44,0,-97,32.17217553,34.81201239,29.32418163,3,GSM,
