WigleWifi-1.4,appRelease=2.26,model=EVA-L09,release=7.0,device=HWEVA,display=EVA-L09C576B383,board=EVA,brand=HUAWEI
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
1c:b9:c4:16:f4:2c,Ariel_University,[ESS],2017-11-08 13:44:56,44,-65,32.102949994386144,35.20914724452673,703.1750869984293,64,WIFI
1c:b9:c4:16:f4:28,Ariel_University,[ESS],2017-11-08 13:44:56,11,-75,32.102949994386144,35.20914724452673,703.1750869984293,64,WIFI
1c:b9:c4:16:28:fc,Ariel_University,[ESS],2017-11-08 13:44:56,36,-74,32.102949994386144,35.20914724452673,703.1750869984293,64,WIFI
1c:b9:c4:16:28:f8,Ariel_University,[ESS],2017-11-08 13:44:56,6,-77,32.102949994386144,35.20914724452673,703.1750869984293,64,WIFI
1c:b9:c4:15:43:e8,Ariel_University,[ESS],2017-11-08 13:44:56,1,-85,32.102949994386144,35.20914724452673,703.1750869984293,64,WIFI
1c:b9:c4:15:43:ec,Ariel_University,[ESS],2017-11-08 13:44:56,36,-79,32.102949994386144,35.20914724452673,703.1750869984293,64,WIFI
1c:b9:c4:96:28:f7,,[WPA2-PSK-CCMP][ESS],2017-11-08 13:44:56,36,-72,32.102949994386144,35.20914724452673,703.1750869984293,64,WIFI
ec:8c:a2:08:78:cc,Ariel_University,[ESS],2017-11-08 13:44:56,40,-66,32.102949994386144,35.20914724452673,703.1750869984293,64,WIFI
1c:b9:c4:96:f4:27,,[WPA2-PSK-CCMP][ESS],2017-11-08 13:44:56,44,-54,32.102949994386144,35.20914724452673,703.1750869984293,64,WIFI
1c:b9:c4:16:28:ec,Ariel_University,[ESS],2017-11-08 13:44:56,52,-80,32.102949994386144,35.20914724452673,703.1750869984293,64,WIFI
1c:b9:c4:12:90:bc,Ariel_University,[ESS],2017-11-08 13:44:56,40,-62,32.102949994386144,35.20914724452673,703.1750869984293,64,WIFI
8c:0c:90:2d:75:e8,Ariel_University,[ESS],2017-11-08 13:44:56,1,-88,32.102949994386144,35.20914724452673,703.1750869984293,64,WIFI
1c:b9:c4:14:33:c8,Ariel_University,[ESS],2017-11-08 13:44:56,11,-90,32.102949994386144,35.20914724452673,703.1750869984293,64,WIFI
1c:b9:c4:14:2f:68,Ariel_University,[ESS],2017-11-08 13:44:56,6,-82,32.102949994386144,35.20914724452673,703.1750869984293,64,WIFI
ec:8c:a2:88:78:c7,,[WPA2-PSK-CCMP][ESS],2017-11-08 13:44:56,40,-80,32.102949994386144,35.20914724452673,703.1750869984293,64,WIFI
ec:8c:a2:08:78:c8,Ariel_University,[ESS],2017-11-08 13:44:56,6,-81,32.102949994386144,35.20914724452673,703.1750869984293,64,WIFI
1c:b9:c4:16:d2:88,Ariel_University,[ESS],2017-11-08 13:44:56,11,-91,32.102949994386144,35.20914724452673,703.1750869984293,64,WIFI
1c:b9:c4:16:d2:8c,Ariel_University,[ESS],2017-11-08 13:44:56,44,-78,32.102949994386144,35.20914724452673,703.1750869984293,64,WIFI
34:8f:27:20:8c:1c,Ariel_University,[ESS],2017-11-08 13:44:56,36,-83,32.102949994386144,35.20914724452673,703.1750869984293,64,WIFI
1c:b9:c4:92:90:b7,,[WPA2-PSK-CCMP][ESS],2017-11-08 13:44:56,40,-62,32.102949994386144,35.20914724452673,703.1750869984293,64,WIFI
1c:b9:c4:95:43:e7,,[WPA2-PSK-CCMP][ESS],2017-11-08 13:44:56,36,-80,32.102949994386144,35.20914724452673,703.1750869984293,64,WIFI
ec:8c:a2:08:94:1c,Ariel_University,[ESS],2017-11-08 13:44:56,40,-74,32.102949994386144,35.20914724452673,703.1750869984293,64,WIFI
42507_10072_480144,HOT mobile,UMTS;il,2017-11-08 13:44:56,0,-113,32.102949994386144,35.20914724452673,703.1750869984293,64,GSM
8c:0c:90:2d:75:e8,Ariel_University,[ESS],2017-11-08 13:44:57,1,-83,32.10287153510869,35.20902964528318,716.013344675011,64,WIFI
ec:8c:a2:88:78:c7,,[WPA2-PSK-CCMP][ESS],2017-11-08 13:44:57,40,-69,32.10287153510869,35.20902964528318,716.013344675011,64,WIFI
1c:b9:c4:96:28:e7,,[WPA2-PSK-CCMP][ESS],2017-11-08 13:44:57,52,-80,32.10287153510869,35.20902964528318,716.013344675011,64,WIFI
ec:8c:a2:08:94:18,Ariel_University,[ESS],2017-11-08 13:44:57,1,-80,32.10287153510869,35.20902964528318,716.013344675011,64,WIFI
42507_10072_480148,HOT mobile,HSPA;il,2017-11-08 13:44:57,0,-113,32.10287153510869,35.20902964528318,716.013344675011,64,GSM
8c:0c:90:2d:75:e8,Ariel_University,[ESS],2017-11-08 13:45:01,1,-78,32.10296146009116,35.20906003281465,712.3965972521036,8,WIFI
f8:d1:11:77:77:c6,HelpDesk,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-08 13:45:01,4,-85,32.10296146009116,35.20906003281465,712.3965972521036,8,WIFI
1c:b9:c4:14:2f:6c,Ariel_University,[ESS],2017-11-08 13:45:01,36,-85,32.10296146009116,35.20906003281465,712.3965972521036,8,WIFI
1c:b9:c4:12:90:b8,Ariel_University,[ESS],2017-11-08 13:45:01,11,-88,32.10296146009116,35.20906003281465,712.3965972521036,8,WIFI
ec:8c:a2:08:78:c8,Ariel_University,[ESS],2017-11-08 13:45:04,6,-76,32.10303127948995,35.20891342247965,716.6776476943082,8,WIFI
ec:8c:a2:08:94:1c,Ariel_University,[ESS],2017-11-08 13:45:04,40,-67,32.10303127948995,35.20891342247965,716.6776476943082,8,WIFI
8c:0c:90:ad:75:e3,,[WPA2-PSK-CCMP][ESS],2017-11-08 13:45:04,1,-87,32.10303127948995,35.20891342247965,716.6776476943082,8,WIFI
42507_10072_470809,HOT mobile,UMTS;il,2017-11-08 13:45:07,0,-113,32.103021770746885,35.20896208795234,717.1066062449783,6,GSM
ec:8c:a2:08:94:18,Ariel_University,[ESS],2017-11-08 13:45:07,1,-75,32.103021770746885,35.20896208795234,717.1066062449783,6,WIFI
1c:b9:c4:12:90:b8,Ariel_University,[ESS],2017-11-08 13:45:07,11,-77,32.103021770746885,35.20896208795234,717.1066062449783,6,WIFI
1c:b9:c4:16:f4:78,Ariel_University,[ESS],2017-11-08 13:45:07,1,-87,32.103021770746885,35.20896208795234,717.1066062449783,6,WIFI
ec:8c:a2:08:94:18,Ariel_University,[ESS],2017-11-08 13:45:11,1,-67,32.10303837527057,35.208994397290624,715.4837351577206,6,WIFI
1c:b9:c4:12:7c:c8,Ariel_University,[ESS],2017-11-08 13:45:11,11,-85,32.10303837527057,35.208994397290624,715.4837351577206,6,WIFI
ec:8c:a2:08:78:c8,Ariel_University,[ESS],2017-11-08 13:45:13,6,-67,32.103046246343084,35.20899365804838,714.2234385232233,4,WIFI
1c:b9:c4:16:f1:5c,Ariel_University,[ESS],2017-11-08 13:45:15,44,-81,32.10306421930667,35.20898809534736,712.7137325310888,4,WIFI
1c:b9:c4:12:7c:cc,Ariel_University,[ESS],2017-11-08 13:45:15,36,-84,32.10306421930667,35.20898809534736,712.7137325310888,4,WIFI
1c:b9:c4:14:2b:88,Ariel_University,[ESS],2017-11-08 13:45:15,6,-86,32.10306421930667,35.20898809534736,712.7137325310888,4,WIFI
1c:b9:c4:16:28:e8,Ariel_University,[ESS],2017-11-08 13:45:15,1,-86,32.10306421930667,35.20898809534736,712.7137325310888,4,WIFI
34:8f:27:20:8c:18,Ariel_University,[ESS],2017-11-08 13:45:15,1,-86,32.10306421930667,35.20898809534736,712.7137325310888,4,WIFI
ec:8c:a2:08:94:1c,Ariel_University,[ESS],2017-11-08 13:45:17,40,-62,32.10307584343188,35.2089767251399,711.1099377436966,4,WIFI
1c:b9:c4:16:d2:88,Ariel_University,[ESS],2017-11-08 13:45:17,11,-86,32.10307584343188,35.2089767251399,711.1099377436966,4,WIFI
1c:b9:c4:12:7c:cc,Ariel_University,[ESS],2017-11-08 13:45:17,36,-78,32.10307584343188,35.2089767251399,711.1099377436966,4,WIFI
1c:b9:c4:92:7c:c7,,[WPA2-PSK-CCMP][ESS],2017-11-08 13:45:17,36,-80,32.10307584343188,35.2089767251399,711.1099377436966,4,WIFI
34:8f:27:a0:8c:17,,[WPA2-PSK-CCMP][ESS],2017-11-08 13:45:17,36,-84,32.10307584343188,35.2089767251399,711.1099377436966,4,WIFI
1c:b9:c4:12:7c:c8,Ariel_University,[ESS],2017-11-08 13:45:19,11,-80,32.1030923527489,35.20896813399192,710.902341163744,4,WIFI
1c:b9:c4:12:7c:cc,Ariel_University,[ESS],2017-11-08 13:45:19,36,-72,32.1030923527489,35.20896813399192,710.902341163744,4,WIFI
1c:b9:c4:96:d2:87,,[WPA2-PSK-CCMP][ESS],2017-11-08 13:45:19,44,-76,32.1030923527489,35.20896813399192,710.902341163744,4,WIFI
1c:b9:c4:16:f1:58,Ariel_University,[ESS],2017-11-08 13:45:19,11,-86,32.1030923527489,35.20896813399192,710.902341163744,4,WIFI
8c:0c:90:2d:75:e8,Ariel_University,[ESS],2017-11-08 13:45:23,1,-72,32.103122547076204,35.20895615377642,709.0717176870609,4,WIFI
f8:d1:11:77:77:c6,HelpDesk,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-08 13:45:23,4,-77,32.103122547076204,35.20895615377642,709.0717176870609,4,WIFI
1c:b9:c4:92:7c:c7,,[WPA2-PSK-CCMP][ESS],2017-11-08 13:45:23,36,-73,32.103122547076204,35.20895615377642,709.0717176870609,4,WIFI
ec:8c:a2:88:94:17,,[WPA2-PSK-CCMP][ESS],2017-11-08 13:45:23,40,-66,32.103122547076204,35.20895615377642,709.0717176870609,4,WIFI
8c:0c:90:ad:75:e3,,[WPA2-PSK-CCMP][ESS],2017-11-08 13:45:23,1,-79,32.103122547076204,35.20895615377642,709.0717176870609,4,WIFI
72:1c:e7:bc:84:be,DIRECT-VFLAPTOP-EEB8HV0LmsDH,[WPA2-PSK-CCMP][WPS][ESS][P2P],2017-11-08 13:45:23,1,-85,32.103122547076204,35.20895615377642,709.0717176870609,4,WIFI
1c:b9:c4:12:7c:c8,Ariel_University,[ESS],2017-11-08 13:45:25,11,-73,32.10314623985036,35.208949517337935,709.1520562982998,12,WIFI
8c:0c:90:ad:75:e3,,[WPA2-PSK-CCMP][ESS],2017-11-08 13:45:27,1,-72,32.10316391452731,35.20894458372337,709.6328533448606,6,WIFI
1c:b9:c4:12:7c:cc,Ariel_University,[ESS],2017-11-08 13:45:29,36,-67,32.103186915938544,35.208929116130726,710.0590013800258,12,WIFI
1c:b9:c4:12:7c:cc,Ariel_University,[ESS],2017-11-08 13:45:31,36,-58,32.10320444226776,35.208913310603535,710.2663995541354,8,WIFI
1c:b9:c4:92:7c:c7,,[WPA2-PSK-CCMP][ESS],2017-11-08 13:45:33,36,-68,32.10322452875287,35.20889761417198,710.2985959429193,8,WIFI
1c:b9:c4:16:f4:7c,Ariel_University,[ESS],2017-11-08 13:45:37,36,-84,32.10326844415799,35.20884917511344,710.3195691688805,4,WIFI
c4:12:f5:85:12:7d,Si_2.4G,[WPA2-PSK-CCMP][ESS],2017-11-08 13:45:41,5,-87,32.103304638891395,35.2088210169953,710.0546987364429,4,WIFI
1c:b9:c4:16:d2:88,Ariel_University,[ESS],2017-11-08 13:45:43,11,-81,32.103327051838946,35.208802145703736,709.7517177418223,4,WIFI
42507_10072_516799,HOT mobile,UMTS;il,2017-11-08 13:45:43,0,-113,32.103327051838946,35.208802145703736,709.7517177418223,4,GSM
ec:8c:a2:88:94:17,,[WPA2-PSK-CCMP][ESS],2017-11-08 13:45:47,40,-58,32.103364509286976,35.2087615380117,708.9610660507951,4,WIFI
ec:8c:a2:88:7a:17,,[WPA2-PSK-CCMP][ESS],2017-11-08 13:45:47,36,-79,32.103364509286976,35.2087615380117,708.9610660507951,4,WIFI
ec:8c:a2:08:7a:1c,Ariel_University,[ESS],2017-11-08 13:45:47,36,-79,32.103364509286976,35.2087615380117,708.9610660507951,4,WIFI
1c:b9:c4:16:f4:7c,Ariel_University,[ESS],2017-11-08 13:45:47,36,-78,32.103364509286976,35.2087615380117,708.9610660507951,4,WIFI
c4:12:f5:85:12:7c,Si_5G,[WPA2-PSK-CCMP][ESS],2017-11-08 13:45:49,60,-78,32.103362373267124,35.20875877057205,708.731156533904,4,WIFI
ec:8c:a2:08:78:3c,Ariel_University,[ESS],2017-11-08 13:45:49,40,-84,32.103362373267124,35.20875877057205,708.731156533904,4,WIFI
1c:b9:c4:16:13:08,Ariel_University,[ESS],2017-11-08 13:45:49,11,-88,32.103362373267124,35.20875877057205,708.731156533904,4,WIFI
ec:8c:a2:26:d3:68,Ariel_University,[ESS],2017-11-08 13:45:49,1,-89,32.103362373267124,35.20875877057205,708.731156533904,4,WIFI
14:ae:db:58:0d:6d,__ery,[WPA2-PSK-CCMP][ESS],2017-11-08 13:45:55,6,-86,32.10336704197722,35.20869832045643,707.8775298201161,3,WIFI
a0:4f:d4:3b:e9:01,Cellcom-WiFi_5373,[WPA2-PSK-CCMP][ESS],2017-11-08 13:45:55,6,-84,32.10336704197722,35.20869832045643,707.8775298201161,3,WIFI
d4:7b:b0:79:c8:ab,HOTBOX-C8A5,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-08 13:45:57,6,-88,32.10336910790477,35.208661083797864,707.6836565509161,3,WIFI
ec:8c:a2:88:78:37,,[WPA2-PSK-CCMP][ESS],2017-11-08 13:46:01,40,-81,32.10337471165182,35.2085937410222,707.302132385238,3,WIFI
ec:8c:a2:08:78:3c,Ariel_University,[ESS],2017-11-08 13:46:05,40,-79,32.10339082864991,35.20854908338041,706.7698862552669,4,WIFI
ec:8c:a2:09:0c:cc,Ariel_University,[ESS],2017-11-08 13:46:05,44,-85,32.10339082864991,35.20854908338041,706.7698862552669,4,WIFI
ec:8c:a2:88:7a:17,,[WPA2-PSK-CCMP][ESS],2017-11-08 13:46:09,36,-70,32.10340203772171,35.20849241488166,706.3813353645679,4,WIFI
ec:8c:a2:08:7a:1c,Ariel_University,[ESS],2017-11-08 13:46:09,36,-69,32.10340203772171,35.20849241488166,706.3813353645679,4,WIFI
14:ae:db:cf:86:f5,Biren2809,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-11-08 13:46:09,11,-89,32.10340203772171,35.20849241488166,706.3813353645679,4,WIFI
ec:8c:a2:08:78:38,Ariel_University,[ESS],2017-11-08 13:46:17,1,-81,32.10340373405704,35.20835593956153,705.7782458112597,4,WIFI
14:ae:db:46:62:2d,Nadav,[WPA2-PSK-CCMP][ESS],2017-11-08 13:46:20,6,-89,32.103408973316306,35.208289768288765,705.8143348304052,4,WIFI
ec:8c:a2:08:78:3c,Ariel_University,[ESS],2017-11-08 13:46:20,40,-74,32.103408973316306,35.208289768288765,705.8143348304052,4,WIFI
00:21:04:4c:2a:a2,Yan,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-08 13:46:25,6,-89,32.103430627568805,35.20817908019089,706.1522186746287,4,WIFI
ec:8c:a2:88:78:37,,[WPA2-PSK-CCMP][ESS],2017-11-08 13:46:27,40,-75,32.10344170695791,35.20815390466522,706.2514357890467,4,WIFI
ec:8c:a2:09:0c:cc,Ariel_University,[ESS],2017-11-08 13:46:27,44,-77,32.10344170695791,35.20815390466522,706.2514357890467,4,WIFI
ec:8c:a2:08:a9:3c,Ariel_University,[ESS],2017-11-08 13:46:27,36,-84,32.10344170695791,35.20815390466522,706.2514357890467,4,WIFI
42507_10072_470805,HOT mobile,UMTS;il,2017-11-08 13:46:27,0,-113,32.10344170695791,35.20815390466522,706.2514357890467,4,GSM
ec:8c:a2:09:0c:c8,Ariel_University,[ESS],2017-11-08 13:46:29,1,-88,32.103442798326014,35.208158900042385,706.2897802230209,4,WIFI
ec:8c:a2:08:78:3c,Ariel_University,[ESS],2017-11-08 13:46:31,40,-69,32.10345042526043,35.208160393317876,706.2426852984053,4,WIFI
b0:48:7a:a1:80:8c,Knoch,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-11-08 13:46:31,4,-83,32.10345042526043,35.208160393317876,706.2426852984053,4,WIFI
78:11:dc:1a:cf:d0,TamiRacheli,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-11-08 13:46:31,8,-85,32.10345042526043,35.208160393317876,706.2426852984053,4,WIFI
ec:8c:a2:88:78:37,,[WPA2-PSK-CCMP][ESS],2017-11-08 13:46:34,40,-70,32.10345765990393,35.20812324445197,705.989652895262,3,WIFI
1c:b9:c4:16:28:ec,Ariel_University,[ESS],2017-11-08 13:46:34,52,-86,32.10345765990393,35.20812324445197,705.989652895262,3,WIFI
ec:8c:a2:09:0c:c8,Ariel_University,[ESS],2017-11-08 13:46:34,1,-80,32.10345765990393,35.20812324445197,705.989652895262,3,WIFI
42507_10072_480144,HOT mobile,UMTS;il,2017-11-08 13:46:34,0,-113,32.10345765990393,35.20812324445197,705.989652895262,3,GSM
ec:8c:a2:08:7a:1c,Ariel_University,[ESS],2017-11-08 13:46:36,36,-63,32.10346036403221,35.20808062705461,705.8014017041513,3,WIFI
ec:8c:a2:08:78:3c,Ariel_University,[ESS],2017-11-08 13:46:36,40,-61,32.10346036403221,35.20808062705461,705.8014017041513,3,WIFI
ec:8c:a2:89:8c:37,,[WPA2-PSK-CCMP][ESS],2017-11-08 13:46:36,44,-75,32.10346036403221,35.20808062705461,705.8014017041513,3,WIFI
ec:8c:a2:09:8c:3c,Ariel_University,[ESS],2017-11-08 13:46:36,44,-73,32.10346036403221,35.20808062705461,705.8014017041513,3,WIFI
